Distance (km),200 ord/day,280 ord/day,350 ord/day,420 ord/day,500 ord/day
1.0,209.3,341.7,457.7,573.6,706.1
1.5,188.3,312.3,420.9,529.5,653.6
2.0,167.3,282.9,384.2,485.4,601.1
2.5,146.3,253.5,347.4,441.3,548.6
3.0,125.3,224.1,310.7,397.2,496.1
3.5,104.3,194.7,273.9,353.1,443.6
4.0,83.3,165.3,237.2,309.0,391.1
